Date,Open,High,Low,Close,Vol.,Change %
30-Apr-15,20.5,21.5,20.5,20.75,654.20K,2.47%
04-May-15,21,21.75,21,21.25,452.50K,2.41%
05-May-15,21.75,22.5,21.5,21.75,1.49M,2.35%
06-May-15,22,22.75,22,22,385.40K,1.15%
07-May-15,22,22.25,21.75,21.75,679.40K,-1.14%
08-May-15,22,22,21.5,21.5,239.30K,-1.15%
11-May-15,21.75,22.25,21.25,21.75,2.44M,1.16%
12-May-15,22,22.5,22,22,295.80K,1.15%
13-May-15,21.75,22.5,21.75,22,393.00K,0.00%
14-May-15,22.25,23,22,22.75,14.54M,3.41%
15-May-15,22,22.5,22,22,840.90K,-3.30%
18-May-15,22.5,22.75,22,22,899.40K,0.00%
19-May-15,22,22.5,22,22,521.60K,0.00%
20-May-15,22.5,22.5,22,22,780.70K,0.00%
21-May-15,22,22.25,22,22,1.21M,0.00%
22-May-15,22,22.25,22,22,719.60K,0.00%
25-May-15,22,22.25,22,22,1.02M,0.00%
26-May-15,22,22.25,22,22,916.10K,0.00%
27-May-15,22.5,22.5,22,22,2.42M,0.00%
28-May-15,22.25,22.5,22,22,731.40K,0.00%
29-May-15,22,22.25,22,22,2.55M,0.00%
02-Jun-15,22,22.5,21.75,21.75,1.21M,-1.14%
03-Jun-15,21.75,22,21.5,21.5,789.80K,-1.15%
04-Jun-15,21.5,22,21.5,21.5,399.50K,0.00%
05-Jun-15,21.5,22,21.5,21.75,1.18M,1.16%
08-Jun-15,18.12,18.33,17.92,17.92,269.40K,-17.61%
09-Jun-15,17.92,18.33,17.92,17.92,709.20K,0.00%
10-Jun-15,18.12,18.54,18.12,18.12,2.00M,1.12%
11-Jun-15,18.12,18.54,17.92,18.12,1.51M,0.00%
12-Jun-15,18.33,18.33,18.12,18.12,293.52K,0.00%
15-Jun-15,18.33,18.33,17.92,17.92,185.88K,-1.10%
16-Jun-15,17.92,18.33,17.92,17.92,381.60K,0.00%
17-Jun-15,17.92,18.54,17.92,18.33,923.88K,2.29%
18-Jun-15,18.33,18.54,18.12,18.33,3.96M,0.00%
19-Jun-15,18.33,18.54,17.92,17.92,117.36K,-2.24%
22-Jun-15,17.92,18.54,17.92,18.12,639.12K,1.12%
23-Jun-15,17.92,18.54,17.92,18.12,4.50M,0.00%
24-Jun-15,17.92,18.33,17.92,18.12,2.24M,0.00%
25-Jun-15,17.92,18.33,17.92,18.12,1.36M,0.00%
26-Jun-15,18.12,18.33,17.92,17.92,388.44K,-1.10%
29-Jun-15,18.54,18.54,18.12,18.12,348.12K,1.12%
30-Jun-15,18.12,18.33,17.71,18.12,5.06M,0.00%
01-Jul-15,18.12,18.12,17.71,17.92,534.60K,-1.10%
02-Jul-15,18.12,18.12,17.71,17.71,264.72K,-1.17%
03-Jul-15,17.92,17.92,15.96,17.29,416.28K,-2.37%
06-Jul-15,17.71,17.92,17.5,17.5,182.28K,1.21%
07-Jul-15,17.5,17.92,17.5,17.5,2.78M,0.00%
08-Jul-15,17.5,17.92,17.5,17.71,438.12K,1.20%
09-Jul-15,17.71,18.12,17.5,17.71,126.36K,0.00%
10-Jul-15,17.5,17.71,17.5,17.5,2.53M,-1.19%
13-Jul-15,17.5,17.71,17.5,17.5,277.44K,0.00%
14-Jul-15,17.5,17.92,17.5,17.5,720.72K,0.00%
