Date,Open,High,Low,Close,Vol.,Change %
05-Dec-16,0,159,158,158,0.80K,0.00%
06-Dec-16,158,158,158,158,0.10K,0.00%
07-Dec-16,158,158,158,158,10.30K,0.00%
08-Dec-16,157,158,157,157,3.30K,-0.63%
09-Dec-16,158,158,156,156,4.30K,-0.64%
13-Dec-16,156,156,156,156,5.20K,0.00%
14-Dec-16,155,157,155,156,2.40K,0.00%
15-Dec-16,156,156,154,155,83.90K,-0.64%
16-Dec-16,156,156,155,155,5.40K,0.00%
19-Dec-16,155,155,154,154,11.30K,-0.65%
20-Dec-16,155,155,150,152,2.20K,-1.30%
21-Dec-16,153,155,152,153,2.60K,0.66%
22-Dec-16,155,155,155,155,16.90K,1.31%
28-Dec-16,157,157,157,157,2.00K,1.29%
29-Dec-16,158,160,158,158,15.30K,0.64%
30-Dec-16,160,160,160,160,4.00K,1.27%
03-Jan-17,160,160,160,160,1.90K,0.00%
04-Jan-17,158,158,155,157,0.70K,-1.88%
05-Jan-17,158,158,158,158,1.10K,0.64%
06-Jan-17,158,158,158,158,0.30K,0.00%
09-Jan-17,157,157,153,155,13.90K,-1.90%
10-Jan-17,155,160,154,156,10.10K,0.65%
11-Jan-17,156,156,156,156,0.20K,0.00%
12-Jan-17,155,156,155,155,0.80K,-0.64%
13-Jan-17,155,155,155,155,1.10K,0.00%
16-Jan-17,154,154,154,154,0.10K,-0.65%
17-Jan-17,154,154,150,150,27.70K,-2.60%
18-Jan-17,150,154,150,150,0.70K,0.00%
19-Jan-17,150,150,150,150,0.10K,0.00%
20-Jan-17,154,154,150,150,16.00K,0.00%
23-Jan-17,150,150,145,149,4.20K,-0.67%
24-Jan-17,150,150,150,150,3.00K,0.67%
25-Jan-17,150,150,150,150,125.10K,0.00%
26-Jan-17,150,150,150,150,2.40K,0.00%
27-Jan-17,150,150,150,150,1.00K,0.00%
30-Jan-17,150,150,150,150,7.60K,0.00%
31-Jan-17,150,150,150,150,3.30K,0.00%
01-Feb-17,150,150,146,146,147.20K,-2.67%
02-Feb-17,155,155,155,155,0.10K,6.16%
03-Feb-17,155,155,148,148,8.60K,-4.52%
06-Feb-17,150,150,150,150,7.90K,1.35%
07-Feb-17,155,155,150,150,4.00K,0.00%
08-Feb-17,150,150,148,148,12.20K,-1.33%
09-Feb-17,148,148,146,146,168.80K,-1.35%
10-Feb-17,150,150,147,148,0.20K,1.37%
13-Feb-17,146,146,146,146,7.50K,-1.35%
14-Feb-17,147,160,146,146,55.10K,0.00%
16-Feb-17,148,148,148,148,0.20K,1.37%
17-Feb-17,148,148,148,148,0.50K,0.00%
20-Feb-17,149,149,146,147,13.50K,-0.68%
21-Feb-17,148,148,146,146,10.00K,-0.68%
22-Feb-17,146,146,146,146,13.30K,0.00%
23-Feb-17,150,150,145,146,6.80K,0.00%
27-Feb-17,146,150,146,146,4.40K,0.00%
28-Feb-17,146,150,146,146,5.50K,0.00%
01-Mar-17,146,146,146,146,2.30K,0.00%
02-Mar-17,146,150,146,146,13.10K,0.00%
03-Mar-17,146,147,146,146,1.80K,0.00%
06-Mar-17,146,146,146,146,6.40K,0.00%
07-Mar-17,146,150,146,146,9.40K,0.00%
08-Mar-17,146,150,140,140,505.00K,-4.11%
09-Mar-17,146,146,146,146,0.70K,4.29%
10-Mar-17,146,150,146,147,3.90K,0.68%
13-Mar-17,146,150,146,146,100.60K,-0.68%
14-Mar-17,150,150,150,150,0.80K,2.74%
16-Mar-17,149,149,147,147,1.20K,-2.00%
17-Mar-17,148,148,147,147,3.00K,0.00%
20-Mar-17,147,150,147,147,1.40K,0.00%
21-Mar-17,150,150,148,148,117.90K,0.68%
22-Mar-17,150,150,150,150,25.60K,1.35%
24-Mar-17,160,161,160,160,15.80K,6.67%
27-Mar-17,161,165,161,162,6.10K,1.25%
28-Mar-17,152,175,152,158,38.30K,-2.47%
29-Mar-17,162,165,162,163,33.50K,3.16%
30-Mar-17,161,162,161,161,1.10K,-1.23%
31-Mar-17,165,165,165,165,200.10K,2.48%
03-Apr-17,165,165,165,165,80.30K,0.00%
05-Apr-17,165,165,165,165,1.20K,0.00%
06-Apr-17,165,165,165,165,210.80K,0.00%
07-Apr-17,165,165,164,164,1.20K,-0.61%
10-Apr-17,164,164,163,163,1.80K,-0.61%
11-Apr-17,160,163,160,162,5.50K,-0.61%
12-Apr-17,163,165,163,163,32.90K,0.62%
13-Apr-17,161,161,160,160,32.90K,-1.84%
18-Apr-17,161,161,160,160,2.60K,0.00%
19-Apr-17,160,164,160,160,139.80K,0.00%
21-Apr-17,162,162,162,162,0.10K,1.25%
